"05/03/2023","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"07/03/2023","Ingreso","Billetazo","Bizum","294,41","Variable","Pagado"
"10/03/2023","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"13/03/2023","Ingreso","Billetazo","Bizum","60,00","Variable","Pagado"
"17/03/2023","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"23/03/2023","Ingreso","Billetazo","Bizum","15,00","Variable","Pagado"
"24/03/2023","Ingreso","Billetazo","Bizum","50,78","Variable","Pagado"
"25/03/2023","Ingreso","Billetazo","Bizum","0,67","Variable","Pagado"
"30/03/2023","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"01/03/2023","Gasto","Ocio","Café","1,30","Variable","Pagado"
"02/03/2023","Gasto","Ocio","Café","1,30","Variable","Pagado"
"03/03/2023","Gasto","Ocio","Café","1,30","Variable","Pagado"
"06/03/2023","Gasto","Ocio","Café","1,30","Variable","Pagado"
"07/03/2023","Gasto","Ocio","Café","1,30","Variable","Pagado"
"09/03/2023","Gasto","Ocio","Café","1,30","Variable","Pagado"
"10/03/2023","Gasto","Ocio","Comida","2,60","Variable","Pagado"
"13/03/2023","Gasto","Ocio","Café","1,30","Variable","Pagado"
"14/03/2023","Gasto","Ocio","Café","1,30","Variable","Pagado"
"18/03/2023","Gasto","Ocio","Comida","4,00","Variable","Pagado"
"22/03/2023","Gasto","Ocio","Comida","9,94","Variable","Pagado"
"02/03/2023","Gasto","Ocio","Entretenimiento","13,70","Variable","Pagado"
"13/03/2023","Gasto","Ocio","Entretenimiento","2,80","Variable","Pagado"
"14/03/2023","Gasto","Ocio","Entretenimiento","0,90","Variable","Pagado"
"15/03/2023","Gasto","Ocio","Entretenimiento","12,99","Variable","Pagado"
"16/03/2023","Gasto","Ocio","Entretenimiento","4,92","Variable","Pagado"
"17/03/2023","Gasto","Ocio","Entretenimiento","7,97","Variable","Pagado"
"01/03/2023","Gasto","Tecnología","Tecnología","6,90","Variable","Pagado"
"09/03/2023","Gasto","Tecnología","Tecnología","437,99","Variable","Pagado"
"11/03/2023","Gasto","Tecnología","Tecnología","50,33","Variable","Pagado"
"22/03/2023","Gasto","Tecnología","Tecnología","12,00","Variable","Pagado"
"23/03/2023","Gasto","Tecnología","Tecnología","2,99","Variable","Pagado"
"24/03/2023","Gasto","Tecnología","Tecnología","15,99","Variable","Pagado"
"03/03/2023","Gasto","Coche","Coche","31,60","Variable","Pagado"
"09/03/2023","Gasto","Coche","Coche","40,00","Variable","Pagado"
"16/03/2023","Gasto","Coche","Coche","30,00","Variable","Pagado"
"23/03/2023","Gasto","Coche","Coche","33,69","Variable","Pagado"
"07/03/2023","Gasto","Salud","Salud","39,00","Variable","Pagado"
"16/03/2023","Gasto","Salud","Salud","10,00","Variable","Pagado"
"02/04/2023","Ingreso","Billetazo","Bizum","6,40","Variable","Pagado"
"03/04/2023","Ingreso","Billetazo","Bizum","50,77","Variable","Pagado"
"05/04/2023","Ingreso","Billetazo","Bizum","141,09","Variable","Pagado"
"06/04/2023","Ingreso","Billetazo","Bizum","48,00","Variable","Pagado"
"07/04/2023","Ingreso","Billetazo","Bizum","14,50","Variable","Pagado"
"08/04/2023","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"11/04/2023","Ingreso","Billetazo","Bizum","7,00","Variable","Pagado"
"12/04/2023","Ingreso","Billetazo","Bizum","62,56","Variable","Pagado"
"18/04/2023","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"20/04/2023","Ingreso","Billetazo","Bizum","60,00","Variable","Pagado"
"24/04/2023","Ingreso","Billetazo","Bizum","7,00","Variable","Pagado"
"25/04/2023","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"27/04/2023","Ingreso","Billetazo","Bizum","40,00","Variable","Pagado"
"28/04/2023","Ingreso","Billetazo","Bizum","80,00","Variable","Pagado"
"05/04/2023","Gasto","Ocio","Comida","19,00","Variable","Pagado"
"06/04/2023","Gasto","Ocio","Comida","27,23","Variable","Pagado"
"07/04/2023","Gasto","Ocio","Comida","21,33","Variable","Pagado"
"08/04/2023","Gasto","Ocio","Comida","2,80","Variable","Pagado"
"11/04/2023","Gasto","Ocio","Comida","12,50","Variable","Pagado"
"12/04/2023","Gasto","Ocio","Comida","25,90","Variable","Pagado"
"16/04/2023","Gasto","Ocio","Comida","16,55","Variable","Pagado"
"19/04/2023","Gasto","Ocio","Comida","16,45","Variable","Pagado"
"22/04/2023","Gasto","Ocio","Comida","3,30","Variable","Pagado"
"23/04/2023","Gasto","Ocio","Comida","18,86","Variable","Pagado"
"25/04/2023","Gasto","Ocio","Comida","2,99","Variable","Pagado"
"26/04/2023","Gasto","Ocio","Comida","17,64","Variable","Pagado"
"13/04/2023","Gasto","Ropa","Ropa","69,94","Variable","Pagado"
"22/04/2023","Gasto","Ropa","Ropa","6,50","Variable","Pagado"
"05/04/2023","Gasto","Ocio","Entretenimiento","20,44","Variable","Pagado"
"08/04/2023","Gasto","Ocio","Entretenimiento","12,00","Variable","Pagado"
"11/04/2023","Gasto","Ocio","Entretenimiento","6,80","Variable","Pagado"
"14/04/2023","Gasto","Ocio","Entretenimiento","12,99","Variable","Pagado"
"17/04/2023","Gasto","Ocio","Entretenimiento","8,80","Variable","Pagado"
"20/04/2023","Gasto","Ocio","Entretenimiento","5,15","Variable","Pagado"
"21/04/2023","Gasto","Ocio","Entretenimiento","17,20","Variable","Pagado"
"22/04/2023","Gasto","Ocio","Entretenimiento","21,00","Variable","Pagado"
"23/04/2023","Gasto","Ocio","Entretenimiento","8,00","Variable","Pagado"
"27/04/2023","Gasto","Ocio","Entretenimiento","5,18","Variable","Pagado"
"28/04/2023","Gasto","Ocio","Entretenimiento","0,60","Variable","Pagado"
"29/04/2023","Gasto","Ocio","Entretenimiento","41,74","Variable","Pagado"
"05/04/2023","Gasto","Tecnología","Tecnología","19,16","Variable","Pagado"
"13/04/2023","Gasto","Tecnología","Tecnología","40,16","Variable","Pagado"
"14/04/2023","Gasto","Tecnología","Tecnología","3,95","Variable","Pagado"
"20/04/2023","Gasto","Tecnología","Tecnología","202,33","Variable","Pagado"
"29/04/2023","Gasto","Tecnología","Tecnología","8,96","Variable","Pagado"
"05/04/2023","Gasto","Coche","Coche","4,71","Variable","Pagado"
