"Fecha","Tipo","Categoría","Descripción","Importe","Compromiso","Estado"
"26/03/2025","Gasto","Ocio","Comida","5,28","Variable","Pagado"
"27/03/2025","Gasto","Ocio","Comida","8,49","Variable","Pagado"
"08/03/2025","Gasto","Ropa","Ropa","143,75","Variable","Pagado"
"10/03/2025","Gasto","Ropa","Ropa","105,98","Variable","Pagado"
"23/03/2025","Gasto","Ropa","Ropa","118,00","Variable","Pagado"
"01/03/2025","Gasto","Ocio","Entretenimiento","22,30","Variable","Pagado"
"09/03/2025","Gasto","Ocio","Entretenimiento","9,00","Variable","Pagado"
"14/03/2025","Gasto","Ocio","Entretenimiento","39,20","Variable","Pagado"
"19/03/2025","Gasto","Ocio","Entretenimiento","5,40","Variable","Pagado"
"20/03/2025","Gasto","Ocio","Entretenimiento","2,60","Variable","Pagado"
"21/03/2025","Gasto","Ocio","Entretenimiento","35,13","Variable","Pagado"
"23/03/2025","Gasto","Ocio","Entretenimiento","4,70","Variable","Pagado"
"26/03/2025","Gasto","Ocio","Entretenimiento","28,33","Variable","Pagado"
"27/03/2025","Gasto","Ocio","Entretenimiento","12,00","Variable","Pagado"
"30/03/2025","Gasto","Ocio","Entretenimiento","14,30","Variable","Pagado"
"10/03/2025","Gasto","Tecnología","Tecnología","2,99","Variable","Pagado"
"11/03/2025","Gasto","Tecnología","Tecnología","52,64","Variable","Pagado"
"26/03/2025","Gasto","Tecnología","Tecnología","2,99","Variable","Pagado"
"09/03/2025","Gasto","Coche","Coche","35,00","Variable","Pagado"
"21/03/2025","Gasto","Coche","Coche","30,00","Variable","Pagado"
"24/03/2025","Gasto","Coche","Coche","0,95","Variable","Pagado"
"25/03/2025","Gasto","Coche","Coche","6,34","Variable","Pagado"
"29/03/2025","Gasto","Coche","Coche","2,15","Variable","Pagado"
"18/03/2025","Gasto","Moto","Moto","14,41","Variable","Pagado"
"20/03/2025","Gasto","Moto","Moto","5,00","Variable","Pagado"
"26/03/2025","Gasto","Salud","Salud","12,00","Variable","Pagado"
"01/04/2025","Ingreso","Billetazo","Bizum","310,00","Variable","Pagado"
"14/04/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"17/04/2025","Ingreso","Billetazo","Bizum","60,00","Variable","Pagado"
"18/04/2025","Ingreso","Billetazo","Bizum","72,36","Variable","Pagado"
"21/04/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"23/04/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"25/04/2025","Ingreso","Billetazo","Bizum","20,00","Variable","Pagado"
"27/04/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"29/04/2025","Ingreso","Billetazo","Bizum","298,44","Variable","Pagado"
"02/04/2025","Gasto","Ocio","Comida","2,50","Variable","Pagado"
"08/04/2025","Gasto","Ocio","Comida","10,50","Variable","Pagado"
"09/04/2025","Gasto","Ocio","Comida","2,79","Variable","Pagado"
"11/04/2025","Gasto","Ocio","Comida","4,10","Variable","Pagado"
"12/04/2025","Gasto","Ocio","Comida","0,15","Variable","Pagado"
"29/04/2025","Gasto","Ocio","Comida","1,70","Variable","Pagado"
"30/04/2025","Gasto","Ocio","Comida","0,99","Variable","Pagado"
"02/04/2025","Gasto","Ocio","Entretenimiento","9,66","Variable","Pagado"
"06/04/2025","Gasto","Ocio","Entretenimiento","28,00","Variable","Pagado"
"16/04/2025","Gasto","Ocio","Entretenimiento","18,80","Variable","Pagado"
"17/04/2025","Gasto","Ocio","Entretenimiento","20,50","Variable","Pagado"
"20/04/2025","Gasto","Ocio","Entretenimiento","10,00","Variable","Pagado"
"21/04/2025","Gasto","Ocio","Entretenimiento","11,00","Variable","Pagado"
"26/04/2025","Gasto","Ocio","Entretenimiento","17,05","Variable","Pagado"
"27/04/2025","Gasto","Ocio","Entretenimiento","18,30","Variable","Pagado"
"02/04/2025","Gasto","Tecnología","Tecnología","89,05","Variable","Pagado"
"09/04/2025","Gasto","Tecnología","Tecnología","2,99","Variable","Pagado"
"24/04/2025","Gasto","Tecnología","Tecnología","2,79","Variable","Pagado"
"15/04/2025","Gasto","Coche","Coche","40,00","Variable","Pagado"
"22/04/2025","Gasto","Coche","Coche","30,00","Variable","Pagado"
"26/04/2025","Gasto","Coche","Coche","0,55","Variable","Pagado"
"08/04/2025","Gasto","Moto","Moto","16,34","Variable","Pagado"
"01/04/2025","Gasto","Salud","Salud","87,00","Variable","Pagado"
"13/04/2025","Gasto","Salud","Salud","13,00","Variable","Pagado"
"30/04/2025","Gasto","Salud","Salud","37,00","Variable","Pagado"
"04/05/2025","Ingreso","Billetazo","Bizum","290,00","Variable","Pagado"
"18/05/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"25/05/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"31/05/2025","Ingreso","Billetazo","Bizum","20,00","Variable","Pagado"
"06/05/2025","Gasto","Ocio","Comida","10,47","Variable","Pagado"
"13/05/2025","Gasto","Ocio","Comida","21,90","Variable","Pagado"
"16/05/2025","Gasto","Ocio","Comida","5,80","Variable","Pagado"
"26/05/2025","Gasto","Ocio","Comida","9,44","Variable","Pagado"
"28/05/2025","Gasto","Ocio","Comida","6,60","Variable","Pagado"
"29/05/2025","Gasto","Ocio","Comida","20,00","Variable","Pagado"
"18/05/2025","Gasto","Ropa","Ropa","20,00","Variable","Pagado"
"03/05/2025","Gasto","Ocio","Entretenimiento","6,90","Variable","Pagado"
"05/05/2025","Gasto","Ocio","Entretenimiento","3,69","Variable","Pagado"
"06/05/2025","Gasto","Ocio","Entretenimiento","20,95","Variable","Pagado"
"07/05/2025","Gasto","Ocio","Entretenimiento","45,41","Variable","Pagado"
"09/05/2025","Gasto","Ocio","Entretenimiento","60,24","Variable","Pagado"
"17/05/2025","Gasto","Ocio","Entretenimiento","4,50","Variable","Pagado"
"18/05/2025","Gasto","Ocio","Entretenimiento","14,50","Variable","Pagado"
"23/05/2025","Gasto","Ocio","Entretenimiento","22,77","Variable","Pagado"
"24/05/2025","Gasto","Ocio","Entretenimiento","6,32","Variable","Pagado"
"27/05/2025","Gasto","Ocio","Entretenimiento","37,00","Variable","Pagado"
"28/05/2025","Gasto","Ocio","Entretenimiento","7,57","Variable","Pagado"
"29/05/2025","Gasto","Ocio","Entretenimiento","53,79","Variable","Pagado"
"31/05/2025","Gasto","Ocio","Entretenimiento","11,80","Variable","Pagado"
"06/05/2025","Gasto","Tecnología","Tecnología","6,99","Variable","Pagado"
"07/05/2025","Gasto","Tecnología","Tecnología","45,41","Variable","Pagado"
"09/05/2025","Gasto","Tecnología","Tecnología","2,99","Variable","Pagado"
"16/05/2025","Gasto","Tecnología","Tecnología","13,23","Variable","Pagado"
"23/05/2025","Gasto","Tecnología","Tecnología","5,99","Variable","Pagado"
"27/05/2025","Gasto","Tecnología","Tecnología","12,47","Variable","Pagado"
"03/05/2025","Gasto","Coche","Coche","7,80","Variable","Pagado"
"04/05/2025","Gasto","Coche","Coche","35,00","Variable","Pagado"
"06/05/2025","Gasto","Coche","Coche","0,25","Variable","Pagado"
"14/05/2025","Gasto","Coche","Coche","30,00","Variable","Pagado"
"17/05/2025","Gasto","Coche","Coche","0,15","Variable","Pagado"
"18/05/2025","Gasto","Coche","Coche","3,00","Variable","Pagado"
"23/05/2025","Gasto","Coche","Coche","30,00","Variable","Pagado"
"03/05/2025","Gasto","Salud","Salud","7,00","Variable","Pagado"
"01/06/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"03/06/2025","Ingreso","Billetazo","Bizum","180,00","Variable","Pagado"
"07/06/2025","Ingreso","Billetazo","Bizum","40,00","Variable","Pagado"
"08/06/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"18/06/2025","Ingreso","Billetazo","Bizum","150,00","Variable","Pagado"
"19/06/2025","Ingreso","Billetazo","Bizum","20,00","Variable","Pagado"
"23/06/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"29/06/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"11/06/2025","Gasto","Ocio","Comida","24,00","Variable","Pagado"
"18/06/2025","Gasto","Ocio","Comida","4,85","Variable","Pagado"
"07/06/2025","Gasto","Ocio","Entretenimiento","15,50","Variable","Pagado"
"08/06/2025","Gasto","Ocio","Entretenimiento","7,55","Variable","Pagado"
"14/06/2025","Gasto","Ocio","Entretenimiento","61,10","Variable","Pagado"
"20/06/2025","Gasto","Ocio","Entretenimiento","5,80","Variable","Pagado"
"23/06/2025","Gasto","Ocio","Entretenimiento","31,40","Variable","Pagado"
"24/06/2025","Gasto","Ocio","Entretenimiento","37,00","Variable","Pagado"
"25/06/2025","Gasto","Ocio","Entretenimiento","1,88","Variable","Pagado"
"26/06/2025","Gasto","Ocio","Entretenimiento","19,90","Variable","Pagado"
"27/06/2025","Gasto","Ocio","Entretenimiento","3,00","Variable","Pagado"
"28/06/2025","Gasto","Ocio","Entretenimiento","10,00","Variable","Pagado"
