"Fecha","Tipo","Categoría","Descripción","Importe","Compromiso","Estado"
"09/11/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"13/11/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"15/11/2025","Ingreso","Billetazo","Bizum","25,00","Variable","Pagado"
"16/11/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"23/11/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"30/11/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"23/11/2025","Gasto","Ocio","Comida","37,59","Variable","Pagado"
"24/11/2025","Gasto","Ocio","Comida","26,50","Variable","Pagado"
"25/11/2025","Gasto","Ocio","Comida","26,10","Variable","Pagado"
"26/11/2025","Gasto","Ocio","Comida","10,10","Variable","Pagado"
"11/11/2025","Gasto","Ropa","Ropa","6,15","Variable","Pagado"
"06/11/2025","Gasto","Ocio","Entretenimiento","25,40","Variable","Pagado"
"08/11/2025","Gasto","Ocio","Entretenimiento","16,30","Variable","Pagado"
"09/11/2025","Gasto","Ocio","Entretenimiento","1,50","Variable","Pagado"
"12/11/2025","Gasto","Ocio","Entretenimiento","2,85","Variable","Pagado"
"14/11/2025","Gasto","Ocio","Entretenimiento","24,60","Variable","Pagado"
"16/11/2025","Gasto","Ocio","Entretenimiento","10,00","Variable","Pagado"
