,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,,"50,00 €","50,00 €",,,,,"50,00 €",,,,"20,00 €",,,,"56,00 €",,,,,"6,00 €","50,00 €","6,00 €",,,,"50,00 €","107,00 €","989,13 €","8,76 €","1.442,89 €"
TOTAL,,,,"50,00 €","50,00 €",,,,,"50,00 €",,,,"20,00 €",,,,"56,00 €",,,,,"6,00 €","50,00 €","6,00 €",,,,"50,00 €","107,00 €","989,13 €","8,76 €","1.442,89 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,,,,,,,"25,35 €",,"6,19 €",,,"24,10 €","3,30 €",,"7,00 €",,"28,30 €","8,50 €",,"2,18 €",,"2,50 €",,,,,,,,"107,42 €"
,Ropa,"77,48 €",,"30,86 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"108,34 €"
,Entretenimiento,,,,,,,,,"5,95 €","5,52 €",,,,,,,,,,,,,,,,,,,,,,"11,47 €"
,Tecnología,"2,49 €",,"5,00 €",,,,,,,,,"2,99 €",,,,"12,99 €","24,68 €",,,,,,,"17,99 €",,,,,,,"2,49 €","68,63 €"
,Coche,"0,55 €",,,,,,,,"30,00 €","30,00 €",,,,,,,,,"2,00 €","19,50 €",,,,,,,,,,,,"82,05 €"
,Moto,,,,,,,,,,,,,,,,,,,,,"15,45 €",,,,,,,,,,,"15,45 €"
,Piezas/Recambios,,,,,,,,,,,,,"202,30 €",,,,,,,,,,,,,,,,,,,"202,30 €"
,Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
TOTAL,,"80,52 €","0,00 €","35,86 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","61,30 €","35,52 €","6,19 €","2,99 €","202,30 €","24,10 €","3,30 €","12,99 €","31,68 €","0,00 €","30,30 €","28,00 €","15,45 €","2,18 €","0,00 €","20,49 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","2,49 €","595,66 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
