,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,,,,"50,00 €",,"294,41 €",,,"50,00 €",,,"60,00 €",,,,"50,00 €",,,,,,"15,00 €","50,78 €","0,67 €",,,,,"50,00 €",,"570,86 €"
TOTAL,,,,,,"50,00 €",,"294,41 €",,,"50,00 €",,,"60,00 €",,,,"50,00 €",,,,,,"15,00 €","50,78 €","0,67 €",,,,,"50,00 €",,"570,86 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,"1,30 €","1,30 €","1,30 €",,,"1,30 €","1,30 €",,"1,30 €","2,60 €",,,"1,30 €","1,30 €",,,,"4,00 €",,,,"9,94 €",,,,,,,,,,"26,94 €"
,Tren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Ropa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Entretenimiento,,"13,70 €",,,,,,,,,,,"2,80 €","0,90 €","12,99 €","4,92 €","7,97 €",,,,,,,,,,,,,,,"43,28 €"
,Tecnología,"6,90 €",,,,,,,,"437,99 €",,"50,33 €",,,,,,,,,,,"12,00 €","2,99 €","15,99 €",,,,,,,,"526,20 €"
,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Coche,,,"31,60 €",,,,,,"40,00 €",,,,,,,"30,00 €",,,,,,,"33,69 €",,,,,,,,,"135,29 €"
,Salud,,,,,,,"39,00 €",,,,,,,,,"10,00 €",,,,,,,,,,,,,,,,"49,00 €"
TOTAL,,"8,20 €","15,00 €","32,90 €","0,00 €","0,00 €","1,30 €","40,30 €","0,00 €","479,29 €","2,60 €","50,33 €","0,00 €","4,10 €","2,20 €","12,99 €","44,92 €","7,97 €","4,00 €","0,00 €","0,00 €","0,00 €","21,94 €","36,68 €","15,99 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","780,71 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
