,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,"50,00 €",,,,,"50,00 €","50,00 €","20,00 €",,,,"80,00 €","50,00 €",,,,,"50,55 €","133,93 €",,"30,00 €","50,00 €",,"55,00 €","0,65 €",,,"59,40 €","3,20 €",,"620,13 €"
TOTAL,,,"50,00 €",,,,,"50,00 €","50,00 €","20,00 €",,,,"80,00 €","50,00 €",,,,,"50,55 €","133,93 €",,"30,00 €","50,00 €",,"55,00 €","0,65 €",,,"59,40 €","3,20 €",,"620,13 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,,,"0,20 €",,"25,76 €","9,63 €","1,30 €",,,,,,,,,,"1,30 €","1,75 €",,"1,80 €",,"9,70 €","21,89 €",,,"0,50 €","1,50 €",,"10,40 €","85,73 €"
,Tren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Ropa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Entretenimiento,,"2,39 €",,,,,"5,60 €",,"29,97 €",,,,,"25,12 €",,,,,,,,"22,08 €",,"20,00 €",,,"9,90 €",,,,,"115,06 €"
,Tecnología,"2,49 €",,,,,,,,,,,,,,,,,,"4,01 €",,,,"2,99 €","15,99 €","9,97 €",,,,,,,"35,45 €"
,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Coche,,,,,,,,,,,,,"1,50 €","72,96 €",,"27,70 €",,,,"131,40 €","1,95 €",,,,,,,"2,30 €","38,00 €",,,"275,81 €"
,Salud,,,,,,,,"10,00 €",,,,,,,,,,,,,,,,,,,"34,15 €",,,,,"44,15 €"
TOTAL,,"2,49 €","2,39 €","0,00 €","0,00 €","0,20 €","0,00 €","31,36 €","19,63 €","31,27 €","0,00 €","0,00 €","0,00 €","1,50 €","98,08 €","0,00 €","27,70 €","0,00 €","0,00 €","5,31 €","133,15 €","1,95 €","23,88 €","2,99 €","45,69 €","31,86 €","0,00 €","44,05 €","2,80 €","39,50 €","0,00 €","10,40 €","556,20 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
