,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,"0,93 €",,,,"70,00 €",,,"154,03 €",,"0,65 €","49,97 €","50,00 €",,,,,,,,"20,00 €","80,00 €","7,00 €",,,"3,20 €","2,70 €","7,00 €",,,"955,59 €",,"1.401,07 €"
TOTAL,,"0,93 €",,,,"70,00 €",,,"154,03 €",,"0,65 €","49,97 €","50,00 €",,,,,,,,"20,00 €","80,00 €","7,00 €",,,"3,20 €","2,70 €","7,00 €",,,"955,59 €",,"1.401,07 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,,,,,,,,,,,,,"7,96 €","31,13 €",,,"7,96 €",,"12,5","5,45","14,00 €",,,"14,89 €",,"4,70 €","4,65 €",,,"20,25 €","123,49 €"
,Tren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Ropa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Entretenimiento,,,,,,,,,,,,,,,,,,,,"6,90 €",,,"36,00 €","50,00 €",,,,,,,,"92,90 €"
,Tecnología,,"2,49 €",,,,,,,,,"104,96 €",,,,,,"12,99 €",,,,,,"17,39 €","15,99 €",,,,,,,"2,49 €","156,31 €"
,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Coche,,,,,"25,01 €",,,,"32,55 €",,,,,"45,00 €",,,,,"35,00 €",,"27,06 €",,,,,,,"30,00 €",,,,"194,62 €"
,Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
TOTAL,,"0,00 €","2,49 €","0,00 €","0,00 €","25,01 €","0,00 €","0,00 €","0,00 €","32,55 €","0,00 €","104,96 €","0,00 €","0,00 €","52,96 €","31,13 €","0,00 €","12,99 €","7,96 €","35,00 €","19,40 €","32,51 €","14,00 €","53,39 €","65,99 €","14,89 €","0,00 €","4,70 €","34,65 €","0,00 €","0,00 €","22,74 €","567,32 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
