,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
Ingresos,Ingreso,,"50,00 €","50,00 €",,,,,,,"50,00 €",,,,,,"30,00 €",,"50,00 €",,,"3,00 €","21,00 €","5,20 €","50,00 €","42,40 €","1,50 €","2,00 €","4,80 €","980,34 €",,,"1.340,24 €"
TOTAL,,,"50,00 €","50,00 €",,,,,,,"50,00 €",,,,,,"30,00 €",,"50,00 €",,,"3,00 €","21,00 €","5,20 €","50,00 €","42,40 €","1,50 €","2,00 €","4,80 €","980,34 €",,,"1.340,24 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,"7,40 €","10,44 €",,,,,"3,29 €","8,65 €","15,91 €","6,90 €","5,00 €","13,98 €",,"11,98 €",,"4,00 €",,,,,,"39,1",,"47,20 €","3,81 €","1,40 €","3,00 €","4,35 €","1,40 €",,,"187,81 €"
,Tren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Ropa,,,,,,,,,,,,,,,,,,,,,,,"4,99 €",,,,,,,,,"4,99 €"
,Entretenimiento,,"19,90 €",,"1,90 €",,"41,89 €",,"30,40 €","3,20 €","18,06 €",,"12,00 €",,,,,"5,00 €",,,,"-0,32 €","4,60 €",,,,,"20,80 €",,,,,"157,43 €"
,Tecnología,,,,,,,,,,,,,,"12,99 €",,,,,,,,,"2,99 €",,,,,,,,,"15,98 €"
,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Coche,,"35,00 €",,"201,50 €","35,00 €",,,,,,"35,00 €",,,,,"48,70 €",,,,,,,,"35,00 €",,,,,,,,"390,20 €"
,Salud,,,,,,"23,80 €",,"2,94 €",,,,,"12,00 €",,,,,,,,,,,,,,,,,,,"38,74 €"
TOTAL,,"7,40 €","65,34 €","0,00 €","203,40 €","35,00 €","65,69 €","3,29 €","41,99 €","19,11 €","24,96 €","40,00 €","25,98 €","12,00 €","24,97 €","0,00 €","52,70 €","5,00 €","0,00 €","0,00 €","0,00 €","-0,32 €","43,70 €","7,98 €","82,20 €","3,81 €","1,40 €","23,80 €","4,35 €","1,40 €","0,00 €","0,00 €","795,15 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
