,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,jueves,viernes,sábado,domingo,lunes,martes,miércoles,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,TOTAL
Ingresos,Ingreso,"310,00 €",,,,,,,,,,,,,"50,00 €",,,"60,00 €","72,36 €",,,"50,00 €",,"50,00 €",,"20,00 €",,"50,00 €",,"298,44 €",,,"662,36 €"
TOTAL,,"310,00 €",,,,,,,,,,,,,"50,00 €",,,"60,00 €","72,36 €",,,"50,00 €",,"50,00 €",,"20,00 €",,"50,00 €",,"298,44 €",,,"662,36 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos,Comida,,"2,50 €",,,,,,"10,50 €","2,79 €",,"4,10 €","0,15 €",,,,,,,,,,,,,,,,,"1,70 €","0,99 €",,"22,73 €"
,Ropa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Entretenimiento,,"9,66 €",,,,"28,00 €",,,,,,,,,,"18,80 €","20,50 €",,,"10,00 €",11,,,,,"17,05 €","18,30 €",,,,,"133,31 €"
,Tecnología,,"89,05 €",,,,,,,"2,99 €",,,,,,,,,,,,,,,"2,79 €",,,,,,,,"94,83 €"
,Coche,,,,,,,,,,,,,,,"40,00 €",,,,,,,"30,00 €",,,,"0,55 €",,,,,,"70,55 €"
,Moto,,,,,,,,"16,34 €",,,,,,,,,,,,,,,,,,,,,,,,"16,34 €"
,Piezas/Recambios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 €"
,Salud,"87,00 €",,,,,,,,,,,,"13,00 €",,,,,,,,,,,,,,,,,"37,00 €",,"137,00 €"
TOTAL,,"87,00 €","101,21 €","0,00 €","0,00 €","0,00 €","28,00 €","0,00 €","26,84 €","5,78 €","0,00 €","4,10 €","0,15 €","13,00 €","0,00 €","40,00 €","18,80 €","20,50 €","0,00 €","0,00 €","10,00 €","11,00 €","30,00 €","0,00 €","2,79 €","0,00 €","17,60 €","18,30 €","0,00 €","1,70 €","37,99 €","0,00 €","474,76 €"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
